Location,Pakbus,Latitude,Longitude,Sensor,CF
DHHL_3,     201,            21.31236,       -158.08463,  PY66499,   141.76
DHHL_4,     202,            21.31303,       -158.08505,  PY66500,   118.01
DHHL_5,     203,            21.31357,       -158.08424,  PY66501,   104.46
DHHL_10,    204,            21.31183,       -158.08554,  PY66502,   109.06
DHHL_11,    205,            21.31042,       -158.0853 ,  PY66503,   114.71
DHHL_9,     206,            21.31268,       -158.08688,  PY66504,   141.92
DHHL_2,     207,            21.31451,       -158.08534,  PY66505,   106.39
DHHL_1,     208,            21.31533,       -158.087  ,  PY66519,   107.34
AP_6,       209,            21.30812,       -158.07935,  PY66521,   117.34
AP_1,       210,            21.31276,       -158.08389,  PY66523,   110.40
AP_3,       211,            21.31281,       -158.08163,  PY66524,   113.55
AP_5,       212,            21.30983,       -158.08249,  PY66525,   116.04
AP_4,       213,            21.31141,       -158.07947,  PY66526,   107.58
AP_7,       214,            21.31478,       -158.07785,  PY66527,   117.61
DHHL_6,     215,            21.31179,       -158.08678,  PY66528,   112.83
DHHL_7,     216,            21.31418,       -158.08685,  PY66529,   114.04
DHHL_8,     217,            21.31034,       -158.08675,  PY66530,   117.75
